GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,
0500000US48257,48257,"Kaufman County, Texas",103350,103363,103890,105213,106578,108284,110913,114140,118030,122845,128622,REP
0500000US48259,48259,"Kendall County, Texas",33410,33411,33616,34447,35586,37173,38402,39965,41919,43984,45641,REP
0500000US48261,48261,"Kenedy County, Texas",416,413,417,438,447,438,437,440,434,422,442,REP
0500000US48263,48263,"Kent County, Texas",808,808,812,812,825,781,748,747,748,760,726,REP
0500000US48265,48265,"Kerr County, Texas",49625,49625,49622,49617,49701,49775,50334,50854,51384,51850,52405,REP
0500000US48267,48267,"Kimble County, Texas",4607,4605,4602,4594,4526,4464,4466,4393,4415,4406,4362,REP
0500000US48269,48269,"King County, Texas",286,285,288,258,270,273,263,281,291,289,277,REP
0500000US48271,48271,"Kinney County, Texas",3598,3598,3590,3607,3639,3632,3555,3608,3670,3775,3767,REP
0500000US48273,48273,"Kleberg County, Texas",32061,32061,32034,32033,32105,32031,31910,31487,31447,31152,31129,DEM
0500000US48275,48275,"Knox County, Texas",3719,3719,3723,3721,3729,3723,3802,3794,3733,3683,3653,REP
0500000US48277,48277,"Lamar County, Texas",49793,49789,49819,49854,49657,49095,49417,49380,49536,49597,49728,REP
0500000US48279,48279,"Lamb County, Texas",13977,13976,13994,14056,13861,13660,13484,13265,13205,13198,13158,REP
0500000US48281,48281,"Lampasas County, Texas",19677,19680,19766,19925,20060,20149,20113,20379,20560,20919,21229,REP
0500000US48283,48283,"La Salle County, Texas",6886,6886,6914,7001,7158,7449,7486,7650,7611,7567,7531,DEM
0500000US48285,48285,"Lavaca County, Texas",19263,19264,19255,19310,19529,19634,19783,19916,19875,20019,20110,REP
0500000US48287,48287,"Lee County, Texas",16612,16610,16592,16555,16504,16551,16626,16873,16976,17139,17144,REP
0500000US48289,48289,"Leon County, Texas",16801,16801,16726,16830,16747,16629,16737,17034,17200,17249,17270,REP
0500000US48291,48291,"Liberty County, Texas",75643,75641,75856,75981,76371,76854,78056,79611,81513,83809,86323,REP
0500000US48293,48293,"Limestone County, Texas",23384,23388,23490,23592,23690,23448,23538,23475,23527,23517,23519,REP
0500000US48295,48295,"Lipscomb County, Texas",3302,3302,3283,3332,3447,3490,3553,3563,3499,3376,3355,REP
0500000US48297,48297,"Live Oak County, Texas",11531,11533,11556,11507,11655,11818,12057,12177,12029,12185,12166,REP
0500000US48299,48299,"Llano County, Texas",19301,19301,19334,19069,19262,19506,19662,20083,20606,21205,21646,REP
0500000US48301,48301,"Loving County, Texas",82,82,84,95,86,106,89,119,117,136,152,REP
0500000US48303,48303,"Lubbock County, Texas",278831,278918,280304,283395,285972,289545,294488,298365,302129,304875,307412,REP
0500000US48305,48305,"Lynn County, Texas",5915,5915,5914,5886,5796,5728,5799,5747,5775,5841,5877,REP
0500000US48307,48307,"McCulloch County, Texas",8283,8284,8231,8254,8242,8245,8157,8259,8127,7960,7987,REP
0500000US48309,48309,"McLennan County, Texas",234906,234899,235917,237850,239390,241477,243220,245523,247649,251147,254607,REP
0500000US48311,48311,"McMullen County, Texas",707,707,711,697,731,761,800,835,820,785,749,REP
0500000US48313,48313,"Madison County, Texas",13664,13667,13736,13749,13742,13819,13869,13970,14122,14255,14422,REP
0500000US48315,48315,"Marion County, Texas",10546,10536,10488,10477,10377,10281,10153,10135,10124,10073,9928,REP
0500000US48317,48317,"Martin County, Texas",4799,4799,4809,4885,4981,5272,5462,5653,5638,5562,5753,REP
0500000US48319,48319,"Mason County, Texas",4012,4013,4010,4033,4057,4121,4096,4058,4167,4203,4280,REP
0500000US48321,48321,"Matagorda County, Texas",36702,36702,36708,36684,36553,36518,36501,36775,37076,36811,36552,REP
0500000US48323,48323,"Maverick County, Texas",54258,54258,54448,55292,55808,56593,57197,57806,58134,58227,58485,DEM
0500000US48325,48325,"Medina County, Texas",46006,46006,46129,46511,46804,47247,47839,48419,49280,50210,50921,REP
0500000US48327,48327,"Menard County, Texas",2242,2242,2230,2213,2204,2137,2128,2134,2093,2121,2139,REP
0500000US48329,48329,"Midland County, Texas",136872,136872,136985,140227,147356,152395,156787,162359,163862,165386,172578,REP
0500000US48331,48331,"Milam County, Texas",24757,24756,24679,24603,24111,24089,24145,24370,24691,24985,25131,REP
0500000US48333,48333,"Mills County, Texas",4936,4941,4968,4882,4830,4871,4871,4889,4890,4937,4921,REP
0500000US48335,48335,"Mitchell County, Texas",9403,9403,9413,9395,9331,9002,9074,8864,8477,8232,8145,REP
0500000US48337,48337,"Montague County, Texas",19719,19720,19716,19755,19476,19389,19368,19257,19396,19429,19596,REP
0500000US48339,48339,"Montgomery County, Texas",455746,455750,459210,471396,484622,498518,517328,536124,555703,572146,590925,REP
0500000US48341,48341,"Moore County, Texas",21904,21904,22007,22076,22438,22158,22006,21825,21810,21878,21485,REP
0500000US48343,48343,"Morris County, Texas",12934,12934,12920,12770,12703,12681,12606,12369,12426,12381,12339,REP
0500000US48345,48345,"Motley County, Texas",1210,1205,1205,1200,1197,1192,1149,1146,1169,1229,1234,REP
0500000US48347,48347,"Nacogdoches County, Texas",64524,64524,64686,65653,65869,65198,65248,65538,65693,65599,65711,REP
0500000US48349,48349,"Navarro County, Texas",47735,47840,47872,48077,48177,48060,47947,48209,48417,48779,49565,REP
0500000US48351,48351,"Newton County, Texas",14445,14445,14448,14561,14433,14341,14292,14159,14159,13930,13746,REP
0500000US48353,48353,"Nolan County, Texas",15216,15215,15247,15145,14937,15072,15128,15100,15015,14837,14751,REP
0500000US48355,48355,"Nueces County, Texas",340223,340223,340253,343252,347959,352996,356747,360616,361786,361014,362265,REP
0500000US48357,48357,"Ochiltree County, Texas",10223,10223,10170,10443,10616,10711,10727,10717,10290,10060,9947,REP
0500000US48359,48359,"Oldham County, Texas",2052,2052,2050,2071,2046,2088,2069,2064,2074,2113,2131,REP
0500000US48361,48361,"Orange County, Texas",81837,81837,82013,82331,82881,82811,83249,83946,84533,84936,83572,REP
0500000US48363,48363,"Palo Pinto County, Texas",28111,28122,28084,28051,27859,27876,28034,27966,28136,28575,28875,REP
0500000US48365,48365,"Panola County, Texas",23796,23796,23772,24008,23998,23793,23749,23665,23420,23219,23148,REP
0500000US48367,48367,"Parker County, Texas",116927,116957,117325,118318,119483,119796,122165,125696,129074,133704,138371,REP
0500000US48369,48369,"Parmer County, Texas",10269,10269,10264,10278,10189,9994,9962,9823,9815,9796,9864,REP
0500000US48371,48371,"Pecos County, Texas",15507,15507,15521,15641,15571,15665,15836,16012,15848,15618,15673,REP
0500000US48373,48373,"Polk County, Texas",45413,45415,45447,45578,45520,45539,45830,46632,47678,49016,50031,REP
0500000US48375,48375,"Potter County, Texas",121073,121078,121380,122311,122759,122168,122119,121385,120824,120518,119648,REP
0500000US48377,48377,"Presidio County, Texas",7818,7817,7876,7762,7633,7404,7216,7089,7208,7155,6948,DEM
0500000US48379,48379,"Rains County, Texas",10914,10916,10913,11002,10939,11032,11012,11136,11306,11751,12159,REP
0500000US48381,48381,"Randall County, Texas",120725,120720,121182,123416,124973,126755,128736,130443,132491,134433,136271,REP
0500000US48383,48383,"Reagan County, Texas",3367,3367,3353,3394,3480,3634,3788,3811,3722,3700,3741,REP
0500000US48385,48385,"Real County, Texas",3309,3309,3322,3431,3353,3319,3348,3297,3397,3427,3478,REP
0500000US48387,48387,"Red River County, Texas",12860,12864,12877,12685,12729,12496,12452,12355,12190,12203,12175,REP
0500000US48389,48389,"Reeves County, Texas",13783,13783,13836,13812,13987,14218,14557,14955,15122,15295,15695,DEM
0500000US48391,48391,"Refugio County, Texas",7383,7383,7375,7320,7255,7277,7357,7324,7269,7199,7032,REP
